#cluster,ID (ERS),RA,DEC,z_best
A2744,15028.0,3.5591604,-30.3644934,5.573
A2744,15029.0,3.5590283,-30.3634886,5.402
A2744,15030.0,3.5589323,-30.3624441,5.17
A2744,15031.0,3.5584791,-30.3619291,5.022
A2744,15032.0,3.6156104,-30.3617671,10.882
A2744,15033.0,3.558614,-30.3615283,5.21
A2744,15034.0,3.6069349,-30.3603393,5.02
A2744,15035.0,3.5820818,-30.3588896,5.187
A2744,15036.0,3.6113313,-30.3580999,5.998
A2744,15037.0,3.6096715,-30.3573639,10.218
A2744,15038.0,3.6109171,-30.3570803,9.464
A2744,15039.0,3.579138,-30.3568885,5.249
A2744,15040.0,3.578268,-30.351597,5.255
A2744,15041.0,3.5851285,-30.3495417,5.139
A2744,15042.0,3.58518,-30.3440963,5.022
A2744,15043.0,3.5838373,-30.3417164,5.003
A2744,15044.0,3.5778882,-30.3458252,5.391
A2744,15045.0,3.5873901,-30.343905,5.218
A2744,15046.0,3.5873365,-30.3435877,5.913
A2744,16047.0,3.5826583,-30.4361272,4.008
A2744,16048.0,3.5815654,-30.4356315,3.958
A2744,16049.0,3.5810431,-30.4350943,4.403
A2744,16050.0,3.5838698,-30.4336085,3.212
A2744,16051.0,3.574587,-30.4313582,4.262
A2744,16052.0,3.5959545,-30.4289391,4.891
A2744,16053.0,3.5810949,-30.4283134,4.544
A2744,16054.0,3.5950591,-30.4285051,4.318
A2744,16055.0,3.5767465,-30.4278723,3.86
A2744,16056.0,3.5968173,-30.4273347,4.362
A2744,16057.0,3.5706797,-30.4272628,4.835
A2744,16058.0,3.5959032,-30.4270519,4.047
A2744,16059.0,3.5901544,-30.4259341,4.787
A2744,16060.0,3.5996016,-30.4253874,4.173
A2744,16061.0,3.5961707,-30.4252449,4.272
A2744,16062.0,3.5808469,-30.4252839,4.81
A2744,16063.0,3.5819985,-30.4245984,4.779
A2744,16064.0,3.5887436,-30.4242929,3.16
A2744,16065.0,3.5585859,-30.4237392,4.265
A2744,16066.0,3.5900647,-30.4237419,3.679
A2744,16067.0,3.5995422,-30.4236065,4.811
A2744,16068.0,3.5727775,-30.4231424,3.068
A2744,16069.0,3.5872229,-30.4231121,3.161
A2744,16070.0,3.5935719,-30.4229635,4.271
A2744,16071.0,3.5645133,-30.4219064,4.044
A2744,16072.0,3.5976812,-30.419382,3.529
A2744,16073.0,3.589838,-30.4192989,3.882
A2744,16074.0,3.5999861,-30.4185205,4.496
A2744,16075.0,3.5822402,-30.4178963,4.272
A2744,16076.0,3.5586558,-30.4174156,3.434
A2744,16077.0,3.5511077,-30.417321,4.875
A2744,16078.0,3.5505427,-30.4173285,3.576
A2744,16079.0,3.5796025,-30.4171605,3.712
A2744,16080.0,3.5448249,-30.4169304,4.766
A2744,16081.0,3.5601881,-30.416746,4.193
A2744,16082.0,3.5733974,-30.4169493,3.054
A2744,16083.0,3.561875,-30.4156388,3.844
A2744,16084.0,3.5499605,-30.415464,3.422
A2744,16085.0,3.5477401,-30.4144863,3.826
A2744,16086.0,3.5433539,-30.4133361,3.218
A2744,16087.0,3.5365541,-30.4127856,3.253
A2744,16088.0,3.6132083,-30.4116864,3.36
A2744,16089.0,3.6153338,-30.4110271,3.17
A2744,16090.0,3.539252,-30.4098015,3.958
A2744,16091.0,3.5367793,-30.4096914,3.917
A2744,16092.0,3.5450216,-30.4096716,3.609
A2744,16093.0,3.6172989,-30.4091812,3.647
A2744,16094.0,3.5350061,-30.4088638,4.38
A2744,16095.0,3.5460793,-30.4090923,3.087
A2744,16096.0,3.5472825,-30.4085327,3.103
A2744,16097.0,3.5464216,-30.4079423,4.385
A2744,16098.0,3.5574815,-30.4078482,3.209
A2744,16099.0,3.5388821,-30.4062529,4.899
A2744,16100.0,3.562494,-30.4060588,3.713
A2744,16101.0,3.5617796,-30.405973,3.905
A2744,16102.0,3.6106308,-30.4060201,3.153
A2744,16103.0,3.610094,-30.4054388,3.07
A2744,16104.0,3.6133838,-30.4052734,3.214
A2744,16105.0,3.5428684,-30.4044776,3.702
A2744,16106.0,3.549742,-30.4042607,3.125
A2744,16107.0,3.5533944,-30.4042612,4.228
A2744,16108.0,3.6253057,-30.4040276,3.368
A2744,16109.0,3.6198342,-30.4043179,3.079
A2744,16110.0,3.5538442,-30.403978,3.175
A2744,16111.0,3.552931,-30.4038875,4.928
A2744,16112.0,3.5550733,-30.4038194,3.294
A2744,16113.0,3.5557587,-30.4037625,4.32
A2744,16114.0,3.5506673,-30.4017452,3.193
A2744,16115.0,3.5502628,-30.4015332,3.092
A2744,16116.0,3.5615906,-30.4013674,3.704
A2744,16117.0,3.6089293,-30.4012985,4.207
A2744,16118.0,3.5397678,-30.4011459,3.841
A2744,16119.0,3.5389954,-30.4005965,3.932
A2744,16120.0,3.5542599,-30.4005068,4.345
A2744,16121.0,3.5425817,-30.399931,4.383
A2744,16122.0,3.6088212,-30.3998685,3.947
A2744,16123.0,3.5405662,-30.3995667,3.581
A2744,16124.0,3.6118371,-30.3981788,3.179
A2744,16125.0,3.6290661,-30.3965338,4.44
A2744,16126.0,3.6249436,-30.3964026,3.592
A2744,16127.0,3.5604702,-30.3962352,3.274
A2744,16128.0,3.6175718,-30.3950087,4.856
A2744,16129.0,3.5575961,-30.3949361,3.646
A2744,16130.0,3.6244186,-30.3936319,3.278
A2744,16131.0,3.6137971,-30.3918981,4.225
A2744,16132.0,3.6102627,-30.39165,4.824
A2744,16133.0,3.5642189,-30.3912751,3.218
A2744,16134.0,3.5474928,-30.3903399,3.528
A2744,16135.0,3.5594317,-30.3900233,4.159
A2744,16136.0,3.546451,-30.3892782,4.5
A2744,16137.0,3.5478426,-30.3890772,3.111
A2744,16138.0,3.5463957,-30.3888882,3.952
A2744,16139.0,3.54681,-30.3890889,4.234
A2744,16140.0,3.6100403,-30.3887183,3.234
A2744,16141.0,3.6168418,-30.3884143,4.231
A2744,16142.0,3.5471509,-30.3887439,3.592
A2744,16143.0,3.5557914,-30.3878698,4.127
A2744,16144.0,3.6212445,-30.3883511,3.132
A2744,16145.0,3.6202008,-30.3867295,3.277
A2744,16146.0,3.5582048,-30.3865608,3.969
A2744,16147.0,3.6224791,-30.3860274,3.262
A2744,16148.0,3.5475344,-30.3859368,4.463
A2744,16149.0,3.622227,-30.3859012,4.285
A2744,16150.0,3.5638971,-30.3855284,3.744
A2744,16151.0,3.6170888,-30.3856673,4.55
A2744,16152.0,3.550063,-30.3856243,3.473
A2744,16153.0,3.5472429,-30.3841575,4.201
A2744,16154.0,3.5521931,-30.3840718,3.149
A2744,16155.0,3.6138376,-30.3830061,4.943
A2744,16156.0,3.5573436,-30.3829093,4.615
A2744,16157.0,3.5560081,-30.381587,4.1
A2744,16158.0,3.5523349,-30.3813858,4.103
A2744,16159.0,3.5529407,-30.3812026,4.334
A2744,16160.0,3.5546954,-30.38044,4.109
A2744,16161.0,3.5631595,-30.3806309,3.398
A2744,16162.0,3.5643551,-30.3801285,3.851
A2744,16163.0,3.5535354,-30.380163,4.196
A2744,16164.0,3.6165393,-30.3796381,3.431
A2744,16165.0,3.6047379,-30.3786824,3.001
A2744,16166.0,3.5567012,-30.3786296,3.671
A2744,16167.0,3.6110912,-30.3784849,3.149
A2744,16168.0,3.5543589,-30.3782194,3.851
A2744,16169.0,3.5563908,-30.3774721,4.122
A2744,16170.0,3.6003844,-30.3775051,3.789
A2744,16171.0,3.6055311,-30.3771421,4.145
A2744,16172.0,3.6261328,-30.3766997,3.932
A2744,16173.0,3.5536332,-30.3766849,3.519
A2744,16174.0,3.5526206,-30.3766027,4.717
A2744,16175.0,3.5563592,-30.376746,3.66
A2744,16176.0,3.5612714,-30.376482,3.462
A2744,16177.0,3.5667708,-30.3764651,4.187
A2744,16178.0,3.5524878,-30.3762796,4.327
A2744,16179.0,3.5539004,-30.3754916,4.25
A2744,16180.0,3.5612674,-30.3752925,4.025
A2744,16181.0,3.5667054,-30.3752088,3.677
A2744,16182.0,3.5523319,-30.3746851,4.486
A2744,16183.0,3.5520672,-30.3749289,3.818
A2744,16184.0,3.6206654,-30.3742835,4.806
A2744,16185.0,3.5707757,-30.3733981,4.689
A2744,16186.0,3.583989,-30.3733713,3.668
A2744,16187.0,3.5895322,-30.3731504,4.05
A2744,16188.0,3.6045976,-30.3731754,3.117
A2744,16189.0,3.5530757,-30.3731121,3.95
A2744,16190.0,3.5562196,-30.3730035,4.023
A2744,16191.0,3.6088848,-30.3731873,4.167
A2744,16192.0,3.5544716,-30.3728219,3.726
A2744,16193.0,3.5719121,-30.3726572,4.488
A2744,16194.0,3.5570309,-30.372529,4.141
A2744,16195.0,3.583134,-30.3722245,4.514
A2744,16196.0,3.5815442,-30.3722345,3.464
A2744,16197.0,3.594031,-30.3723556,3.311
A2744,16198.0,3.579784,-30.3717821,4.054
A2744,16199.0,3.5602591,-30.3713963,4.533
A2744,16200.0,3.617831,-30.371197,4.837
A2744,16201.0,3.5865025,-30.3704042,3.701
A2744,16202.0,3.5858022,-30.3699439,4.073
A2744,16203.0,3.6284031,-30.3698501,4.839
A2744,16204.0,3.5575029,-30.3695858,3.63
A2744,16205.0,3.5997245,-30.3695542,3.235
A2744,16206.0,3.563667,-30.3692891,4.072
A2744,16207.0,3.5730001,-30.3687614,3.904
A2744,16208.0,3.5727862,-30.3685757,3.699
A2744,16209.0,3.5720738,-30.3679078,3.292
A2744,16210.0,3.5716756,-30.3677451,3.467
A2744,16211.0,3.5733558,-30.3678031,3.212
A2744,16212.0,3.57959,-30.3673154,3.522
A2744,16213.0,3.5800983,-30.3672926,3.154
A2744,16214.0,3.5769772,-30.3671105,3.515
A2744,16215.0,3.5623754,-30.3668856,3.621
A2744,16216.0,3.5766424,-30.3653603,4.276
A2744,16217.0,3.5758287,-30.3653303,4.937
A2744,16218.0,3.5902169,-30.3654875,3.003
A2744,16219.0,3.6071193,-30.3652506,3.428
A2744,16220.0,3.558951,-30.3647807,4.223
A2744,16221.0,3.574829,-30.3647633,3.198
A2744,16222.0,3.5602449,-30.3646691,4.968
A2744,16223.0,3.613101,-30.3646311,3.435
A2744,16224.0,3.5712646,-30.3645991,3.256
A2744,16225.0,3.6081421,-30.3640198,3.587
A2744,16226.0,3.5845133,-30.3640052,3.615
A2744,16227.0,3.5705755,-30.3639053,3.106
A2744,16228.0,3.5718824,-30.3637633,3.342
A2744,16229.0,3.5799722,-30.363585,3.968
A2744,16230.0,3.572426,-30.3630705,3.312
A2744,16231.0,3.5710618,-30.3629078,3.678
A2744,16232.0,3.6052222,-30.3628548,3.175
A2744,16233.0,3.560253,-30.3620979,3.742
A2744,16234.0,3.6099913,-30.3619638,3.116
A2744,16235.0,3.5903678,-30.3619481,3.036
A2744,16236.0,3.5757395,-30.3618799,4.163
A2744,16237.0,3.6126235,-30.3617467,3.627
A2744,16238.0,3.5716498,-30.3615014,3.952
A2744,16239.0,3.5679677,-30.3617285,3.696
A2744,16240.0,3.5672312,-30.3611134,3.453
A2744,16241.0,3.5590796,-30.3610471,4.694
A2744,16242.0,3.5924475,-30.3608484,3.943
A2744,16243.0,3.5759473,-30.3607622,3.512
A2744,16244.0,3.5947998,-30.360732,3.064
A2744,16245.0,3.5762111,-30.3604205,3.312
A2744,16246.0,3.5883622,-30.3606613,3.992
A2744,16247.0,3.592541,-30.3603019,4.072
A2744,16248.0,3.565571,-30.3601136,4.027
A2744,16249.0,3.5680416,-30.3595212,4.341
A2744,16250.0,3.5857672,-30.3592791,3.537
A2744,16251.0,3.5732589,-30.3594763,3.8
A2744,16252.0,3.6016864,-30.3590679,3.498
A2744,16253.0,3.5601116,-30.3590556,3.181
A2744,16254.0,3.5772354,-30.3581138,3.637
A2744,16255.0,3.5721125,-30.3583215,3.561
A2744,16256.0,3.5989287,-30.3579726,3.653
A2744,16257.0,3.5854454,-30.3582158,3.01
A2744,16258.0,3.5931215,-30.3572607,4.57
A2744,16259.0,3.5789671,-30.3570983,4.41
A2744,16260.0,3.6048421,-30.3567192,4.923
A2744,16261.0,3.5745142,-30.3562812,3.922
A2744,16262.0,3.5938209,-30.356044,4.002
A2744,16263.0,3.5831851,-30.3552248,4.294
A2744,16264.0,3.5783487,-30.3551035,3.824
A2744,16265.0,3.5858315,-30.3546984,3.321
A2744,16266.0,3.5868088,-30.3540386,3.435
A2744,16267.0,3.5704485,-30.3536863,4.161
A2744,16268.0,3.5967715,-30.3534769,3.138
A2744,16269.0,3.5832666,-30.3533398,3.639
A2744,16270.0,3.572317,-30.3529827,4.546
A2744,16271.0,3.5902105,-30.3527986,3.663
A2744,16272.0,3.5787622,-30.3523644,3.374
A2744,16273.0,3.5745205,-30.3523124,3.11
A2744,16274.0,3.5719472,-30.351696,4.039
A2744,16275.0,3.5827584,-30.3513119,3.887
A2744,16276.0,3.587217,-30.3495046,4.775
A2744,16277.0,3.5839559,-30.3462689,3.578
